ore; minuti; secondi; corrente; tensione; lemcurr; lemref; temperatura;
15; 57; 8.990; 1.270; 3.979; 2.557; 2.508; 0.580;
15; 57; 9.040; 1.270; 3.982; 2.556; 2.509; 0.580;
15; 57; 9.090; 1.270; 3.985; 2.553; 2.508; 0.580;
15; 57; 9.140; 1.270; 3.987; 2.552; 2.510; 0.580;
15; 57; 9.190; 1.270; 3.990; 2.551; 2.511; 0.580;
15; 57; 9.240; 1.270; 3.988; 2.551; 2.511; 0.580;
15; 57; 9.290; 1.270; 3.988; 2.554; 2.511; 0.581;
15; 57; 9.340; 1.270; 3.980; 2.556; 2.510; 0.579;
15; 57; 9.390; 1.270; 3.978; 2.558; 2.510; 0.579;
15; 57; 9.440; 1.270; 3.981; 2.557; 2.508; 0.580;
15; 57; 9.490; 1.270; 3.982; 2.555; 2.508; 0.580;
15; 57; 9.540; 1.270; 3.985; 2.552; 2.509; 0.580;
15; 57; 9.590; 1.270; 3.989; 2.551; 2.510; 0.580;
15; 57; 9.640; 1.270; 3.990; 2.550; 2.511; 0.580;
15; 57; 9.690; 1.270; 3.989; 2.552; 2.511; 0.580;
15; 57; 9.740; 1.270; 3.984; 2.555; 2.510; 0.578;
15; 57; 9.790; 1.270; 3.980; 2.557; 2.510; 0.581;
15; 57; 9.840; 1.270; 3.978; 2.557; 2.510; 0.579;
15; 57; 9.890; 1.270; 3.979; 2.557; 2.509; 0.579;
15; 57; 9.940; 1.270; 3.980; 2.557; 2.509; 0.579;
15; 57; 10.105; 1.270; 3.987; 2.555; 2.511; 0.580;
15; 57; 10.155; 1.270; 3.982; 2.557; 2.510; 0.578;
15; 57; 10.205; 1.270; 3.978; 2.557; 2.510; 0.579;
15; 57; 10.255; 1.270; 3.978; 2.557; 2.509; 0.579;
15; 57; 10.305; 1.270; 3.980; 2.556; 2.509; 0.579;
15; 57; 10.355; 1.270; 3.982; 2.555; 2.508; 0.579;
15; 57; 10.405; 1.270; 3.985; 2.553; 2.508; 0.579;
15; 57; 10.455; 1.270; 3.986; 2.551; 2.509; 0.579;
15; 57; 10.505; 1.270; 3.989; 2.550; 2.510; 0.578;
15; 57; 10.555; 1.270; 3.989; 2.550; 2.510; 0.579;
15; 57; 10.605; 1.270; 3.990; 2.550; 2.511; 0.579;
15; 57; 10.655; 1.270; 3.988; 2.552; 2.510; 0.579;
15; 57; 10.705; 1.270; 3.988; 2.553; 2.511; 0.578;
15; 57; 10.755; 1.270; 3.985; 2.555; 2.510; 0.578;
15; 57; 10.805; 1.270; 3.981; 2.556; 2.510; 0.578;
15; 57; 10.855; 1.270; 3.979; 2.557; 2.510; 0.579;
15; 57; 10.905; 1.270; 3.979; 2.557; 2.509; 0.578;
15; 57; 10.955; 1.270; 3.981; 2.556; 2.509; 0.578;
15; 57; 11.005; 1.270; 3.984; 2.555; 2.509; 0.578;
15; 57; 11.055; 1.270; 3.984; 2.553; 2.508; 0.578;
15; 57; 11.105; 1.270; 3.987; 2.551; 2.509; 0.579;
15; 57; 11.155; 1.270; 3.989; 2.551; 2.511; 0.578;
15; 57; 11.205; 1.270; 3.988; 2.551; 2.510; 0.579;
15; 57; 11.255; 1.270; 3.986; 2.553; 2.511; 0.578;
15; 57; 11.305; 1.270; 3.981; 2.558; 2.510; 0.578;
15; 57; 11.355; 1.270; 3.978; 2.558; 2.510; 0.578;
15; 57; 11.405; 1.270; 3.979; 2.557; 2.510; 0.578;
15; 57; 11.455; 1.270; 3.981; 2.557; 2.509; 0.578;
15; 57; 11.505; 1.270; 3.984; 2.556; 2.508; 0.578;
15; 57; 11.555; 1.270; 3.986; 2.553; 2.509; 0.578;
15; 57; 11.721; 1.280; 3.979; 2.557; 2.510; 0.578;
15; 57; 11.771; 1.280; 3.977; 2.557; 2.509; 0.578;
15; 57; 11.821; 1.280; 3.978; 2.558; 2.509; 0.576;
15; 57; 11.871; 1.280; 3.979; 2.557; 2.509; 0.578;
15; 57; 11.921; 1.280; 3.980; 2.557; 2.508; 0.577;
15; 57; 11.971; 1.280; 3.984; 2.555; 2.508; 0.577;
15; 57; 12.021; 1.280; 3.984; 2.553; 2.509; 0.577;
15; 57; 12.071; 1.280; 3.986; 2.552; 2.509; 0.578;
15; 57; 12.121; 1.280; 3.989; 2.550; 2.510; 0.577;
15; 57; 12.171; 1.280; 3.988; 2.551; 2.511; 0.577;
15; 57; 12.221; 1.280; 3.985; 2.555; 2.510; 0.578;
15; 57; 12.271; 1.280; 3.979; 2.557; 2.511; 0.578;
15; 57; 12.321; 1.280; 3.978; 2.558; 2.509; 0.577;
15; 57; 12.371; 1.280; 3.979; 2.557; 2.509; 0.578;
15; 57; 12.421; 1.280; 3.984; 2.555; 2.508; 0.577;
