ore; minuti; secondi; corrente; tensione; lemcurr; lemref; temperatura;
8; 54; 21.540; 0.000; 1.386; 2.510; 2.505; 0.317;
8; 54; 21.590; 0.000; 1.392; 2.510; 2.505; 0.317;
8; 54; 21.640; 0.000; 1.405; 2.510; 2.505; 0.308;
8; 54; 21.690; 0.000; 1.400; 2.509; 2.506; 0.310;
8; 54; 21.740; 0.000; 1.386; 2.511; 2.506; 0.314;
8; 54; 21.790; 0.000; 1.385; 2.510; 2.505; 0.319;
8; 54; 21.840; 0.000; 1.394; 2.510; 2.505; 0.316;
8; 54; 21.890; 0.000; 1.405; 2.510; 2.506; 0.308;
8; 54; 21.940; 0.000; 1.395; 2.509; 2.506; 0.311;
8; 54; 21.990; 0.000; 1.385; 2.510; 2.505; 0.319;
8; 54; 22.040; 0.000; 1.389; 2.509; 2.505; 0.316;
8; 54; 22.090; 0.000; 1.402; 2.510; 2.505; 0.308;
8; 54; 22.140; 0.000; 1.401; 2.511; 2.505; 0.310;
8; 54; 22.190; 0.000; 1.388; 2.510; 2.505; 0.313;
8; 54; 22.240; 0.000; 1.385; 2.510; 2.505; 0.318;
8; 54; 22.290; 0.000; 1.393; 2.510; 2.506; 0.316;
8; 54; 22.340; 0.000; 1.404; 2.511; 2.505; 0.308;
8; 54; 22.529; 0.010; 1.404; 2.511; 2.506; 0.309;
8; 54; 22.579; 0.010; 1.392; 2.509; 2.505; 0.313;
8; 54; 22.629; 0.010; 1.385; 2.509; 2.506; 0.318;
8; 54; 22.679; 0.010; 1.391; 2.510; 2.505; 0.318;
8; 54; 22.729; 0.010; 1.404; 2.510; 2.505; 0.308;
8; 54; 22.779; 0.010; 1.396; 2.510; 2.506; 0.310;
8; 54; 22.829; 0.010; 1.385; 2.510; 2.506; 0.317;
8; 54; 22.879; 0.010; 1.391; 2.510; 2.506; 0.318;
8; 54; 22.929; 0.010; 1.403; 2.510; 2.506; 0.309;
8; 54; 22.979; 0.010; 1.398; 2.510; 2.505; 0.310;
8; 54; 23.029; 0.010; 1.385; 2.510; 2.506; 0.316;
8; 54; 23.079; 0.010; 1.386; 2.510; 2.505; 0.318;
8; 54; 23.129; 0.010; 1.397; 2.509; 2.505; 0.312;
8; 54; 23.179; 0.010; 1.403; 2.510; 2.505; 0.310;
8; 54; 23.229; 0.010; 1.388; 2.509; 2.505; 0.313;
8; 54; 23.279; 0.010; 1.386; 2.510; 2.505; 0.320;
8; 54; 23.329; 0.010; 1.397; 2.510; 2.506; 0.311;
8; 54; 23.379; 0.010; 1.403; 2.510; 2.505; 0.309;
8; 54; 23.429; 0.010; 1.392; 2.510; 2.505; 0.313;
8; 54; 23.479; 0.010; 1.385; 2.509; 2.505; 0.318;
8; 54; 23.529; 0.010; 1.392; 2.510; 2.505; 0.316;
8; 54; 23.579; 0.010; 1.404; 2.509; 2.505; 0.307;
8; 54; 23.629; 0.010; 1.394; 2.509; 2.507; 0.313;
8; 54; 23.679; 0.010; 1.385; 2.509; 2.506; 0.317;
8; 54; 23.729; 0.010; 1.389; 2.511; 2.505; 0.318;
8; 54; 23.779; 0.010; 1.402; 2.510; 2.504; 0.309;
8; 54; 23.829; 0.010; 1.398; 2.510; 2.506; 0.310;
8; 54; 23.879; 0.010; 1.385; 2.509; 2.506; 0.315;
8; 54; 23.929; 0.010; 1.387; 2.510; 2.505; 0.319;
8; 54; 23.979; 0.010; 1.394; 2.510; 2.505; 0.315;
8; 54; 24.144; 0.000; 1.385; 2.510; 2.506; 0.319;
8; 54; 24.194; 0.000; 1.391; 2.509; 2.505; 0.318;
