ore; minuti; secondi; corrente; tensione; lemcurr; lemref; temperatura/100;
16; 20; 28.144;-1.060; 3.600; 2.463; 2.497; 0.311;
16; 20; 28.194;-1.060; 3.601; 2.464; 2.496; 0.322;
16; 20; 28.244;-1.060; 3.601; 2.463; 2.496; 0.308;
16; 20; 28.294;-1.060; 3.601; 2.463; 2.496; 0.313;
16; 20; 28.344;-1.060; 3.601; 2.463; 2.496; 0.322;
16; 20; 28.394;-1.060; 3.602; 2.463; 2.497; 0.307;
16; 20; 28.444;-1.060; 3.601; 2.463; 2.496; 0.314;
16; 20; 28.494;-1.060; 3.601; 2.463; 2.496; 0.321;
16; 20; 28.544;-1.060; 3.601; 2.462; 2.497; 0.307;
16; 20; 28.594;-1.060; 3.601; 2.464; 2.496; 0.315;
16; 20; 28.742;-1.050; 3.601; 2.463; 2.496; 0.306;
16; 20; 28.792;-1.050; 3.600; 2.463; 2.496; 0.310;
16; 20; 28.842;-1.050; 3.601; 2.463; 2.497; 0.323;
16; 20; 28.892;-1.050; 3.601; 2.463; 2.497; 0.307;
16; 20; 28.942;-1.050; 3.601; 2.463; 2.496; 0.308;
16; 20; 28.992;-1.050; 3.601; 2.463; 2.496; 0.325;
16; 20; 29.042;-1.050; 3.601; 2.464; 2.496; 0.308;
16; 20; 29.092;-1.050; 3.601; 2.464; 2.497; 0.312;
16; 20; 29.142;-1.050; 3.601; 2.463; 2.496; 0.323;
16; 20; 29.192;-1.050; 3.601; 2.463; 2.497; 0.307;
16; 20; 29.242;-1.050; 3.601; 2.463; 2.496; 0.313;
16; 20; 29.292;-1.050; 3.601; 2.463; 2.496; 0.322;
16; 20; 29.342;-1.050; 3.601; 2.463; 2.496; 0.307;
16; 20; 29.392;-1.050; 3.602; 2.464; 2.496; 0.313;
16; 20; 29.442;-1.050; 3.602; 2.463; 2.496; 0.320;
16; 20; 29.492;-1.050; 3.602; 2.463; 2.497; 0.306;
16; 20; 29.542;-1.050; 3.602; 2.463; 2.496; 0.310;
16; 20; 29.592;-1.050; 3.602; 2.463; 2.496; 0.323;
16; 20; 29.642;-1.050; 3.602; 2.464; 2.497; 0.307;
16; 20; 29.692;-1.050; 3.601; 2.463; 2.496; 0.312;
16; 20; 29.742;-1.050; 3.602; 2.464; 2.496; 0.322;
16; 20; 29.792;-1.050; 3.601; 2.463; 2.496; 0.307;
16; 20; 29.842;-1.050; 3.602; 2.462; 2.497; 0.306;
16; 20; 29.892;-1.050; 3.602; 2.464; 2.496; 0.328;
16; 20; 29.942;-1.050; 3.603; 2.463; 2.496; 0.314;
16; 20; 29.992;-1.050; 3.601; 2.463; 2.497; 0.300;
16; 20; 30.042;-1.050; 3.602; 2.463; 2.497; 0.325;
16; 20; 30.092;-1.050; 3.602; 2.463; 2.497; 0.316;
16; 20; 30.142;-1.050; 3.603; 2.463; 2.496; 0.301;
16; 20; 30.192;-1.050; 3.603; 2.462; 2.497; 0.319;
16; 20; 30.344;-1.060; 3.601; 2.463; 2.496; 0.307;
16; 20; 30.394;-1.060; 3.602; 2.463; 2.497; 0.305;
16; 20; 30.444;-1.060; 3.603; 2.463; 2.496; 0.327;
16; 20; 30.494;-1.060; 3.601; 2.463; 2.496; 0.314;
16; 20; 30.544;-1.060; 3.602; 2.462; 2.496; 0.301;
16; 20; 30.594;-1.060; 3.602; 2.463; 2.497; 0.321;
16; 20; 30.644;-1.060; 3.603; 2.463; 2.496; 0.320;
16; 20; 30.694;-1.060; 3.602; 2.463; 2.496; 0.301;
16; 20; 30.744;-1.060; 3.602; 2.463; 2.496; 0.320;
16; 20; 30.794;-1.060; 3.602; 2.463; 2.496; 0.319;
16; 20; 30.844;-1.060; 3.602; 2.463; 2.496; 0.301;
16; 20; 30.894;-1.060; 3.602; 2.463; 2.496; 0.325;
16; 20; 30.944;-1.060; 3.603; 2.462; 2.496; 0.315;
16; 20; 30.994;-1.060; 3.602; 2.464; 2.496; 0.301;
16; 20; 31.044;-1.060; 3.602; 2.463; 2.497; 0.326;
16; 20; 31.094;-1.060; 3.602; 2.463; 2.496; 0.314;
16; 20; 31.144;-1.060; 3.602; 2.463; 2.496; 0.300;
16; 20; 31.194;-1.060; 3.603; 2.463; 2.496; 0.322;
16; 20; 31.244;-1.060; 3.602; 2.463; 2.496; 0.321;
16; 20; 31.294;-1.060; 3.604; 2.463; 2.496; 0.306;
16; 20; 31.344;-1.060; 3.603; 2.462; 2.495; 0.315;
16; 20; 31.394;-1.060; 3.603; 2.463; 2.496; 0.320;
16; 20; 31.444;-1.060; 3.603; 2.463; 2.496; 0.306;
16; 20; 31.494;-1.060; 3.603; 2.463; 2.496; 0.312;
16; 20; 31.544;-1.060; 3.603; 2.464; 2.496; 0.322;
16; 20; 31.594;-1.060; 3.604; 2.464; 2.496; 0.306;
16; 20; 31.644;-1.060; 3.603; 2.463; 2.496; 0.308;
16; 20; 31.694;-1.060; 3.603; 2.463; 2.497; 0.326;
16; 20; 31.744;-1.060; 3.604; 2.463; 2.496; 0.310;
16; 20; 31.794;-1.060; 3.602; 2.463; 2.496; 0.303;
16; 20; 31.944;-1.070; 3.603; 2.462; 2.496; 0.321;
16; 20; 31.994;-1.070; 3.603; 2.463; 2.496; 0.306;
16; 20; 32.044;-1.070; 3.603; 2.463; 2.496; 0.312;
16; 20; 32.094;-1.070; 3.603; 2.463; 2.496; 0.322;
16; 20; 32.144;-1.070; 3.603; 2.463; 2.496; 0.308;
16; 20; 32.194;-1.070; 3.603; 2.463; 2.497; 0.304;
16; 20; 32.244;-1.070; 3.604; 2.462; 2.496; 0.327;
16; 20; 32.294;-1.070; 3.603; 2.463; 2.496; 0.314;
16; 20; 32.344;-1.070; 3.603; 2.463; 2.497; 0.299;
16; 20; 32.394;-1.070; 3.603; 2.463; 2.496; 0.321;
16; 20; 32.444;-1.070; 3.603; 2.463; 2.496; 0.320;
16; 20; 32.494;-1.070; 3.603; 2.462; 2.496; 0.304;
16; 20; 32.544;-1.070; 3.603; 2.463; 2.495; 0.316;
16; 20; 32.594;-1.070; 3.603; 2.463; 2.496; 0.320;
16; 20; 32.644;-1.070; 3.604; 2.463; 2.497; 0.306;
16; 20; 32.694;-1.070; 3.603; 2.464; 2.496; 0.313;
16; 20; 32.744;-1.070; 3.603; 2.462; 2.497; 0.321;
16; 20; 32.794;-1.070; 3.604; 2.463; 2.496; 0.307;
16; 20; 32.844;-1.070; 3.604; 2.464; 2.497; 0.312;
16; 20; 32.894;-1.070; 3.604; 2.463; 2.497; 0.320;
16; 20; 32.944;-1.070; 3.604; 2.463; 2.496; 0.307;
16; 20; 32.994;-1.070; 3.604; 2.463; 2.496; 0.313;
16; 20; 33.044;-1.070; 3.604; 2.463; 2.497; 0.320;
